c3,Region
IDA only,SEN
IDA only,SLE
IDA only,SLB
IDA only,SOM
IDA only,SSD
IDA only,LKA
IDA only,SDN
IDA only,SYR
IDA only,TJK
IDA only,TZA
IDA only,TGO
IDA only,TON
IDA only,TUV
IDA only,UGA
IDA only,VUT
IDA only,YEM
IDA only,ZMB
Latin America & Caribbean (excluding high income),ARG
Latin America & Caribbean (excluding high income),BLZ
Latin America & Caribbean (excluding high income),BOL
Latin America & Caribbean (excluding high income),BRA
Latin America & Caribbean (excluding high income),COL
Latin America & Caribbean (excluding high income),CRI
Latin America & Caribbean (excluding high income),CUB
Latin America & Caribbean (excluding high income),DMA
Latin America & Caribbean (excluding high income),DOM
Latin America & Caribbean (excluding high income),ECU
Latin America & Caribbean (excluding high income),SLV
Latin America & Caribbean (excluding high income),GRD
Latin America & Caribbean (excluding high income),GTM
Latin America & Caribbean (excluding high income),GUY
Latin America & Caribbean (excluding high income),HTI
Latin America & Caribbean (excluding high income),HND
Latin America & Caribbean (excluding high income),JAM
Latin America & Caribbean (excluding high income),MEX
Latin America & Caribbean (excluding high income),NIC
Latin America & Caribbean (excluding high income),PRY
Latin America & Caribbean (excluding high income),PER
Latin America & Caribbean (excluding high income),LCA
Latin America & Caribbean (excluding high income),VCT
Latin America & Caribbean (excluding high income),SUR
Latin America & Caribbean,ATG
Latin America & Caribbean,ARG
Latin America & Caribbean,ABW
Latin America & Caribbean,BHS
Latin America & Caribbean,BRB
Latin America & Caribbean,BLZ
Latin America & Caribbean,BOL
Latin America & Caribbean,BRA
Latin America & Caribbean,VGB
Latin America & Caribbean,CYM
Latin America & Caribbean,CHL
Latin America & Caribbean,COL
Latin America & Caribbean,CRI
Latin America & Caribbean,CUB
Latin America & Caribbean,CUW
Latin America & Caribbean,DMA
Latin America & Caribbean,DOM
Latin America & Caribbean,ECU
Latin America & Caribbean,SLV
Latin America & Caribbean,GRD
Latin America & Caribbean,GTM
Latin America & Caribbean,GUY
Latin America & Caribbean,HTI
Latin America & Caribbean,HND
Latin America & Caribbean,JAM
Latin America & Caribbean,MEX
Latin America & Caribbean,NIC
Latin America & Caribbean,PAN
Latin America & Caribbean,PRY
Latin America & Caribbean,PER
Latin America & Caribbean,PRI
Latin America & Caribbean,SXM
Latin America & Caribbean,KNA
Latin America & Caribbean,LCA
Latin America & Caribbean,MAF
Latin America & Caribbean,VCT
Latin America & Caribbean,SUR
Latin America & Caribbean,TTO
Latin America & Caribbean,TCA
Latin America & Caribbean,URY
Latin America & Caribbean,VEN
Latin America & Caribbean,VIR
Least developed countries: UN classification,AFG
Least developed countries: UN classification,AGO
Least developed countries: UN classification,BGD
Least developed countries: UN classification,BEN
Least developed countries: UN classification,BTN
Least developed countries: UN classification,BFA
Least developed countries: UN classification,BDI
Least developed countries: UN classification,KHM
Least developed countries: UN classification,CAF
Least developed countries: UN classification,TCD
Least developed countries: UN classification,COM
Least developed countries: UN classification,COD
Least developed countries: UN classification,DJI
Least developed countries: UN classification,ERI
Least developed countries: UN classification,ETH
Least developed countries: UN classification,GMB
Least developed countries: UN classification,GIN
Least developed countries: UN classification,GNB
Least developed countries: UN classification,HTI
Least developed countries: UN classification,KIR
Least developed countries: UN classification,LAO
Least developed countries: UN classification,LSO
Least developed countries: UN classification,LBR
Least developed countries: UN classification,MDG
Least developed countries: UN classification,MWI
Least developed countries: UN classification,MLI
Least developed countries: UN classification,MRT
Least developed countries: UN classification,MOZ
Least developed countries: UN classification,MMR
Least developed countries: UN classification,NPL
Least developed countries: UN classification,NER
Least developed countries: UN classification,RWA
Least developed countries: UN classification,STP
Least developed countries: UN classification,SEN
Least developed countries: UN classification,SLE
Least developed countries: UN classification,SLB
Least developed countries: UN classification,SOM
Least developed countries: UN classification,SSD
Least developed countries: UN classification,SDN
Least developed countries: UN classification,TZA
Least developed countries: UN classification,TLS
Least developed countries: UN classification,TGO
Least developed countries: UN classification,TUV
Least developed countries: UN classification,UGA
Least developed countries: UN classification,YEM
Least developed countries: UN classification,ZMB
Low income,AFG
Low income,BFA
Low income,BDI
Low income,CAF
Low income,TCD
Low income,COD
Low income,ERI
Low income,ETH
Low income,GMB
Low income,GIN
Low income,GNB
Low income,PRK
Low income,LBR
Low income,MDG
Low income,MWI
Low income,MLI
Low income,MOZ
Low income,NER
Low income,RWA
Low income,SLE
Low income,SOM
Low income,SSD
Low income,SDN
Low income,SYR
Low income,TGO
Low income,UGA
Low income,YEM
Low income,ZMB
Lower middle income,DZA
Lower middle income,AGO
Lower middle income,BGD
Lower middle income,BEN
Lower middle income,BTN
Lower middle income,BOL
Lower middle income,CPV
Lower middle income,KHM
Lower middle income,CMR
Lower middle income,COM
Lower middle income,COG
Lower middle income,CIV
Lower middle income,DJI
Lower middle income,EGY
Lower middle income,SLV
Lower middle income,SWZ
Lower middle income,GHA
Lower middle income,HTI
Lower middle income,HND
Lower middle income,IND
Lower middle income,IDN
Lower middle income,IRN
Lower middle income,KEN
Lower middle income,KIR
Lower middle income,KGZ
Lower middle income,LAO
Lower middle income,LBN
Lower middle income,LSO
Lower middle income,MRT
Lower middle income,FSM
Lower middle income,MNG
Lower middle income,MAR
Lower middle income,MMR
Lower middle income,NPL
Lower middle income,NIC
Lower middle income,NGA
Lower middle income,PAK
Lower middle income,PNG
Lower middle income,PHL
Lower middle income,WSM
Lower middle income,STP
Lower middle income,SEN
Lower middle income,SLB
Lower middle income,LKA
Lower middle income,TJK
Lower middle income,TZA
Lower middle income,TLS
Lower middle income,TUN
Lower middle income,UKR
Lower middle income,UZB
Lower middle income,VUT
Lower middle income,VNM
Lower middle income,PSE
Lower middle income,ZWE
Low & middle income,AFG
Low & middle income,ALB
Low & middle income,DZA
Low & middle income,ASM
Low & middle income,AGO
Low & middle income,ARG
Low & middle income,ARM
Low & middle income,AZE
Low & middle income,BGD
Low & middle income,BLR
Low & middle income,BLZ
Low & middle income,BEN
Low & middle income,BTN
Low & middle income,BOL
Low & middle income,BIH
Low & middle income,BWA
Low & middle income,BRA
Low & middle income,BGR
Low & middle income,BFA
Low & middle income,BDI
Low & middle income,CPV
Low & middle income,KHM
Low & middle income,CMR
Low & middle income,CAF
Low & middle income,TCD
Low & middle income,CHN
Low & middle income,COL
Low & middle income,COM
Low & middle income,COD
Low & middle income,COG
Low & middle income,CRI
Low & middle income,CIV
Low & middle income,CUB
Low & middle income,DJI
Low & middle income,DMA
Low & middle income,DOM
Low & middle income,ECU
Low & middle income,EGY
Low & middle income,SLV
Low & middle income,GNQ
Low & middle income,ERI
Low & middle income,SWZ
Low & middle income,ETH
Low & middle income,FJI
Low & middle income,GAB
Low & middle income,GMB
Low & middle income,GEO
Low & middle income,GHA
Low & middle income,GRD
Low & middle income,GTM
Low & middle income,GIN
Low & middle income,GNB
Low & middle income,GUY
Low & middle income,HTI
Low & middle income,HND
Low & middle income,IND
Low & middle income,IDN
Low & middle income,IRN
Low & middle income,IRQ
Low & middle income,JAM
Low & middle income,JOR
Low & middle income,KAZ
Low & middle income,KEN
Low & middle income,KIR
Low & middle income,PRK
Low & middle income,XKX
Low & middle income,KGZ
Low & middle income,LAO
Low & middle income,LBN
Low & middle income,LSO
Low & middle income,LBR
Low & middle income,LBY
Low & middle income,MDG
Low & middle income,MWI
Low & middle income,MYS
Low & middle income,MDV
Low & middle income,MLI
Low & middle income,MHL
Low & middle income,MRT
Low & middle income,MUS
Low & middle income,MEX
Low & middle income,FSM
Low & middle income,MDA
Low & middle income,MNG
Low & middle income,MNE
Low & middle income,MAR
Low & middle income,MOZ
Low & middle income,MMR
Low & middle income,NAM
Low & middle income,NPL
Low & middle income,NIC
Low & middle income,NER
Low & middle income,NGA
Low & middle income,MKD
Low & middle income,PAK
Low & middle income,PLW
Low & middle income,PNG
Low & middle income,PRY
Low & middle income,PER
Low & middle income,PHL
Low & middle income,RUS
Low & middle income,RWA
Low & middle income,WSM
Low & middle income,STP
Low & middle income,SEN
Low & middle income,SRB
Low & middle income,SLE
Low & middle income,SLB
Low & middle income,SOM
Low & middle income,ZAF
Low & middle income,SSD
Low & middle income,LKA
Low & middle income,LCA
Low & middle income,VCT
Low & middle income,SDN
Low & middle income,SUR
Low & middle income,SYR
Low & middle income,TJK
Low & middle income,TZA
Low & middle income,THA
Low & middle income,TLS
Low & middle income,TGO
Low & middle income,TON
Low & middle income,TUN
Low & middle income,TUR
Low & middle income,TKM
Low & middle income,TUV
Low & middle income,UGA
Low & middle income,UKR
Low & middle income,UZB
Low & middle income,VUT
Low & middle income,VNM
Low & middle income,PSE
Low & middle income,YEM
Low & middle income,ZMB
Low & middle income,ZWE
Late-demographic dividend,ALB
Late-demographic dividend,ARM
Late-demographic dividend,ABW
Late-demographic dividend,AZE
Late-demographic dividend,BHS
Late-demographic dividend,BRA
Late-demographic dividend,BRN
Late-demographic dividend,CHL
Late-demographic dividend,CHN
Late-demographic dividend,COL
Late-demographic dividend,CRI
Late-demographic dividend,CYP
Late-demographic dividend,EST
Late-demographic dividend,FJI
Late-demographic dividend,PYF
Late-demographic dividend,GEO
Late-demographic dividend,GUM
Late-demographic dividend,GUY
Late-demographic dividend,ISL
Late-demographic dividend,IRL
Late-demographic dividend,JAM
Late-demographic dividend,KAZ
Late-demographic dividend,PRK
Late-demographic dividend,KWT
Late-demographic dividend,KGZ
Late-demographic dividend,LVA
Late-demographic dividend,LBN
Late-demographic dividend,MYS
Late-demographic dividend,MUS
Late-demographic dividend,MDA
Late-demographic dividend,MNG
Late-demographic dividend,MNE
Late-demographic dividend,MAR
Late-demographic dividend,NCL
Late-demographic dividend,MKD
Late-demographic dividend,OMN
Late-demographic dividend,POL
Late-demographic dividend,PRI
Late-demographic dividend,QAT
Late-demographic dividend,ROU
Late-demographic dividend,RUS
Late-demographic dividend,SRB
Late-demographic dividend,SYC
Late-demographic dividend,SVK
Late-demographic dividend,LKA
Late-demographic dividend,LCA
Late-demographic dividend,VCT
Late-demographic dividend,THA
Late-demographic dividend,TTO
Late-demographic dividend,TUN
Late-demographic dividend,ARE
Late-demographic dividend,URY
Late-demographic dividend,VNM
Late-demographic dividend,VIR
Middle East & North Africa,DZA
Middle East & North Africa,BHR
Middle East & North Africa,DJI
Middle East & North Africa,EGY
Middle East & North Africa,IRN
Middle East & North Africa,IRQ
Middle East & North Africa,ISR
Middle East & North Africa,JOR
Middle East & North Africa,KWT
Middle East & North Africa,LBN
Middle East & North Africa,LBY
Middle East & North Africa,MLT
Middle East & North Africa,MAR
Middle East & North Africa,OMN
Middle East & North Africa,QAT
Middle East & North Africa,SAU
Middle East & North Africa,SYR
Middle East & North Africa,TUN
Middle East & North Africa,ARE
Middle East & North Africa,PSE
Middle East & North Africa,YEM
Middle income,ALB
Middle income,DZA
Middle income,ASM
Middle income,AGO
Middle income,ARG
Middle income,ARM
Middle income,AZE
Middle income,BGD
Middle income,BLR
Middle income,BLZ
Middle income,BEN
Middle income,BTN
Middle income,BOL
Middle income,BIH
Middle income,BWA
Middle income,BRA
Middle income,BGR
Middle income,CPV
Middle income,KHM
Middle income,CMR
Middle income,CHN
Middle income,COL
Middle income,COM
Middle income,COG
Middle income,CRI
Middle income,CIV
Middle income,CUB
Middle income,DJI
Middle income,DMA
Middle income,DOM
Middle income,ECU
Middle income,EGY
Middle income,SLV
Middle income,GNQ
Middle income,SWZ
Middle income,FJI
Middle income,GAB
Middle income,GEO
Middle income,GHA
Middle income,GRD
Middle income,GTM
Middle income,GUY
Middle income,HTI
Middle income,HND
Middle income,IND
Middle income,IDN
Middle income,IRN
Middle income,IRQ
Middle income,JAM
Middle income,JOR
Middle income,KAZ
Middle income,KEN
Middle income,KIR
Middle income,XKX
Middle income,KGZ
Middle income,LAO
Middle income,LBN
Middle income,LSO
Middle income,LBY
Middle income,MYS
Middle income,MDV
Middle income,MHL
Middle income,MRT
Middle income,MUS
Middle income,MEX
Middle income,FSM
Middle income,MDA
Middle income,MNG
Middle income,MNE
Middle income,MAR
Middle income,MMR
Middle income,NAM
Middle income,NPL
Middle income,NIC
Middle income,NGA
Middle income,MKD
Middle income,PAK
Middle income,PLW
Middle income,PNG
Middle income,PRY
Middle income,PER
Middle income,PHL
Middle income,RUS
Middle income,WSM
Middle income,STP
Middle income,SEN
Middle income,SRB
Middle income,SLB
Middle income,ZAF
Middle income,LKA
Middle income,LCA
Middle income,VCT
Middle income,SUR
Middle income,TJK
Middle income,TZA
Middle income,THA
Middle income,TLS
Middle income,TON
Middle income,TUN
Middle income,TUR
Middle income,TKM
Middle income,TUV
Middle income,UKR
Middle income,UZB
Middle income,VUT
Middle income,VNM
Middle income,PSE
Middle income,ZWE
Middle East & North Africa (excluding high income),DZA
Middle East & North Africa (excluding high income),DJI
Middle East & North Africa (excluding high income),EGY
Middle East & North Africa (excluding high income),IRN
Middle East & North Africa (excluding high income),IRQ
Middle East & North Africa (excluding high income),JOR
Middle East & North Africa (excluding high income),LBN
Middle East & North Africa (excluding high income),LBY
Middle East & North Africa (excluding high income),MAR
Middle East & North Africa (excluding high income),SYR
Middle East & North Africa (excluding high income),TUN
Middle East & North Africa (excluding high income),PSE
Middle East & North Africa (excluding high income),YEM
North America,BMU
North America,CAN
North America,USA
OECD members,AUS
OECD members,AUS
OECD members,AUT
OECD members,AUT
OECD members,BEL
OECD members,BEL
OECD members,CAN
OECD members,CAN
OECD members,CHL
OECD members,CHL
OECD members,COL
OECD members,COL
OECD members,CRI
OECD members,CZE
OECD members,CZE
OECD members,DNK
OECD members,DNK
OECD members,EST
OECD members,EST
OECD members,FIN
OECD members,FIN
OECD members,FRA
OECD members,FRA
OECD members,DEU
OECD members,DEU
OECD members,GRC
OECD members,GRC
OECD members,HUN
OECD members,HUN
OECD members,ISL
OECD members,ISL
OECD members,IRL
OECD members,IRL
OECD members,ISR
OECD members,ISR
OECD members,ITA
OECD members,ITA
OECD members,JPN
OECD members,JPN
OECD members,KOR
OECD members,KOR
OECD members,LVA
OECD members,LVA
OECD members,LTU
OECD members,LTU
OECD members,LUX
OECD members,LUX
OECD members,MEX
OECD members,MEX
OECD members,NLD
OECD members,NLD
OECD members,NZL
OECD members,NZL
OECD members,NOR
OECD members,NOR
OECD members,POL
OECD members,POL
OECD members,PRT
OECD members,PRT
OECD members,SVK
OECD members,SVK
OECD members,SVN
OECD members,SVN
OECD members,ESP
OECD members,ESP
OECD members,SWE
OECD members,SWE
OECD members,CHE
OECD members,CHE
OECD members,TUR
OECD members,TUR
OECD members,GBR
OECD members,GBR
OECD members,USA
OECD members,USA
Other small states,BHR
Other small states,BTN
Other small states,BWA
Other small states,BRN
Other small states,CPV
Other small states,COM
Other small states,CYP
Other small states,DJI
Other small states,GNQ
Other small states,EST
Other small states,SWZ
Other small states,GAB
Other small states,GMB
Other small states,GNB
Other small states,ISL
Other small states,LSO
Other small states,MDV
Other small states,MLT
Other small states,MUS
Other small states,MNE
Other small states,NAM
Other small states,QAT
Other small states,SMR
Other small states,STP
Other small states,SYC
Other small states,TLS
Pre-demographic dividend,AFG
Pre-demographic dividend,AGO
Pre-demographic dividend,BEN
Pre-demographic dividend,BFA
Pre-demographic dividend,BDI
Pre-demographic dividend,CMR
Pre-demographic dividend,CAF
Pre-demographic dividend,TCD
Pre-demographic dividend,COM
Pre-demographic dividend,COD
Pre-demographic dividend,COG
Pre-demographic dividend,CIV
Pre-demographic dividend,GNQ
Pre-demographic dividend,ERI
Pre-demographic dividend,GMB
Pre-demographic dividend,GIN
Pre-demographic dividend,GNB
Pre-demographic dividend,IRQ
Pre-demographic dividend,KEN
Pre-demographic dividend,LBR
Pre-demographic dividend,MDG
Pre-demographic dividend,MWI
Pre-demographic dividend,MLI
Pre-demographic dividend,MRT
Pre-demographic dividend,MOZ
Pre-demographic dividend,NER
Pre-demographic dividend,NGA
Pre-demographic dividend,SEN
Pre-demographic dividend,SLE
Pre-demographic dividend,SOM
Pre-demographic dividend,SSD
Pre-demographic dividend,SDN
Pre-demographic dividend,TZA
Pre-demographic dividend,TLS
Pre-demographic dividend,TGO
Pre-demographic dividend,UGA
Pre-demographic dividend,ZMB
Pacific island small states,FJI
Pacific island small states,KIR
Pacific island small states,MHL
Pacific island small states,FSM
Pacific island small states,NRU
Pacific island small states,PLW
Pacific island small states,WSM
Pacific island small states,SLB
Pacific island small states,TON
Pacific island small states,TUV
Pacific island small states,VUT
Post-demographic dividend,ATG
Post-demographic dividend,AUS
Post-demographic dividend,AUT
Post-demographic dividend,BRB
Post-demographic dividend,BLR
Post-demographic dividend,BEL
Post-demographic dividend,BIH
Post-demographic dividend,BGR
Post-demographic dividend,CAN
Post-demographic dividend,HRV
Post-demographic dividend,CUB
Post-demographic dividend,CZE
Post-demographic dividend,DNK
Post-demographic dividend,FIN
Post-demographic dividend,FRA
Post-demographic dividend,DEU
Post-demographic dividend,GRC
Post-demographic dividend,HKG
Post-demographic dividend,HUN
Post-demographic dividend,ITA
Post-demographic dividend,JPN
Post-demographic dividend,KOR
Post-demographic dividend,LTU
Post-demographic dividend,LUX
Post-demographic dividend,MAC
Post-demographic dividend,MLT
Post-demographic dividend,NLD
Post-demographic dividend,NZL
Post-demographic dividend,NOR
Post-demographic dividend,PRT
Post-demographic dividend,SGP
Post-demographic dividend,SVN
Post-demographic dividend,ESP
Post-demographic dividend,SWE
Post-demographic dividend,CHE
Post-demographic dividend,UKR
Post-demographic dividend,GBR
Post-demographic dividend,USA
South Asia,AFG
South Asia,BGD
South Asia,BTN
South Asia,IND
South Asia,MDV
South Asia,NPL
South Asia,PAK
South Asia,LKA
Sub-Saharan Africa (excluding high income),AGO
Sub-Saharan Africa (excluding high income),BEN
Sub-Saharan Africa (excluding high income),BWA
Sub-Saharan Africa (excluding high income),BFA
Sub-Saharan Africa (excluding high income),BDI
Sub-Saharan Africa (excluding high income),CPV
Sub-Saharan Africa (excluding high income),CMR
Sub-Saharan Africa (excluding high income),CAF
Sub-Saharan Africa (excluding high income),TCD
Sub-Saharan Africa (excluding high income),COM
Sub-Saharan Africa (excluding high income),COD
Sub-Saharan Africa (excluding high income),COG
Sub-Saharan Africa (excluding high income),CIV
Sub-Saharan Africa (excluding high income),GNQ
Sub-Saharan Africa (excluding high income),ERI
Sub-Saharan Africa (excluding high income),SWZ
Sub-Saharan Africa (excluding high income),ETH
Sub-Saharan Africa (excluding high income),GAB
Sub-Saharan Africa (excluding high income),GMB
Sub-Saharan Africa (excluding high income),GHA
Sub-Saharan Africa (excluding high income),GIN
Sub-Saharan Africa (excluding high income),GNB
Sub-Saharan Africa (excluding high income),KEN
Sub-Saharan Africa (excluding high income),LSO
Sub-Saharan Africa (excluding high income),LBR
Sub-Saharan Africa (excluding high income),MDG
Sub-Saharan Africa (excluding high income),MWI
Sub-Saharan Africa (excluding high income),MLI
Sub-Saharan Africa (excluding high income),MRT
Sub-Saharan Africa (excluding high income),MUS
Sub-Saharan Africa (excluding high income),MOZ
Sub-Saharan Africa (excluding high income),NAM
Sub-Saharan Africa (excluding high income),NER
Sub-Saharan Africa (excluding high income),NGA
Sub-Saharan Africa (excluding high income),RWA
Sub-Saharan Africa (excluding high income),STP
Sub-Saharan Africa (excluding high income),SEN
Sub-Saharan Africa (excluding high income),SLE
Sub-Saharan Africa (excluding high income),SOM
Sub-Saharan Africa (excluding high income),ZAF
Sub-Saharan Africa (excluding high income),SSD
Sub-Saharan Africa (excluding high income),SDN
Sub-Saharan Africa (excluding high income),TZA
Sub-Saharan Africa (excluding high income),TGO
Sub-Saharan Africa (excluding high income),UGA
Sub-Saharan Africa (excluding high income),ZMB
Sub-Saharan Africa (excluding high income),ZWE
Sub-Saharan Africa,AGO
Sub-Saharan Africa,BEN
Sub-Saharan Africa,BWA
Sub-Saharan Africa,BFA
Sub-Saharan Africa,BDI
Sub-Saharan Africa,CPV
Sub-Saharan Africa,CMR
Sub-Saharan Africa,CAF
Sub-Saharan Africa,TCD
Sub-Saharan Africa,COM
Sub-Saharan Africa,COD
Sub-Saharan Africa,COG
Sub-Saharan Africa,CIV
Sub-Saharan Africa,GNQ
Sub-Saharan Africa,ERI
Sub-Saharan Africa,SWZ
Sub-Saharan Africa,ETH
Sub-Saharan Africa,GAB
Sub-Saharan Africa,GMB
Sub-Saharan Africa,GHA
Sub-Saharan Africa,GIN
Sub-Saharan Africa,GNB
Sub-Saharan Africa,KEN
Sub-Saharan Africa,LSO
Sub-Saharan Africa,LBR
Sub-Saharan Africa,MDG
Sub-Saharan Africa,MWI
Sub-Saharan Africa,MLI
Sub-Saharan Africa,MRT
Sub-Saharan Africa,MUS
Sub-Saharan Africa,MOZ
Sub-Saharan Africa,NAM
Sub-Saharan Africa,NER
Sub-Saharan Africa,NGA
Sub-Saharan Africa,RWA
Sub-Saharan Africa,STP
Sub-Saharan Africa,SEN
Sub-Saharan Africa,SYC
Sub-Saharan Africa,SLE
Sub-Saharan Africa,SOM
Sub-Saharan Africa,ZAF
Sub-Saharan Africa,SSD
Sub-Saharan Africa,SDN
Sub-Saharan Africa,TZA
Sub-Saharan Africa,TGO
Sub-Saharan Africa,UGA
Sub-Saharan Africa,ZMB
Sub-Saharan Africa,ZWE
Small states,ATG
Small states,BHS
Small states,BHR
Small states,BRB
Small states,BLZ
Small states,BTN
Small states,BWA
Small states,BRN
Small states,CPV
Small states,COM
Small states,CYP
Small states,DJI
Small states,DMA
Small states,GNQ
Small states,EST
Small states,SWZ
Small states,FJI
Small states,GAB
Small states,GMB
Small states,GRD
Small states,GNB
Small states,GUY
Small states,ISL
Small states,JAM
Small states,KIR
Small states,LSO
Small states,MDV
Small states,MLT
Small states,MHL
Small states,MUS
Small states,FSM
Small states,MNE
Small states,NAM
Small states,NRU
Small states,PLW
Small states,QAT
Small states,WSM
Small states,SMR
Small states,STP
Small states,SYC
Small states,SLB
Small states,KNA
Small states,LCA
Small states,VCT
Small states,SUR
Small states,TLS
Small states,TON
Small states,TTO
Small states,TUV
Small states,VUT
East Asia & Pacific (IDA & IBRD),KHM
East Asia & Pacific (IDA & IBRD),CHN
East Asia & Pacific (IDA & IBRD),FJI
East Asia & Pacific (IDA & IBRD),IDN
East Asia & Pacific (IDA & IBRD),KIR
East Asia & Pacific (IDA & IBRD),LAO
East Asia & Pacific (IDA & IBRD),MYS
East Asia & Pacific (IDA & IBRD),MHL
East Asia & Pacific (IDA & IBRD),FSM
East Asia & Pacific (IDA & IBRD),MNG
East Asia & Pacific (IDA & IBRD),MMR
East Asia & Pacific (IDA & IBRD),NRU
East Asia & Pacific (IDA & IBRD),PLW
East Asia & Pacific (IDA & IBRD),PNG
East Asia & Pacific (IDA & IBRD),PHL
East Asia & Pacific (IDA & IBRD),WSM
East Asia & Pacific (IDA & IBRD),SLB
East Asia & Pacific (IDA & IBRD),THA
East Asia & Pacific (IDA & IBRD),TLS
East Asia & Pacific (IDA & IBRD),TON
East Asia & Pacific (IDA & IBRD),TUV
East Asia & Pacific (IDA & IBRD),VUT
East Asia & Pacific (IDA & IBRD),VNM
Europe & Central Asia (IDA & IBRD),ALB
Europe & Central Asia (IDA & IBRD),ARM
Europe & Central Asia (IDA & IBRD),AZE
Europe & Central Asia (IDA & IBRD),BLR
Europe & Central Asia (IDA & IBRD),BIH
Europe & Central Asia (IDA & IBRD),BGR
Europe & Central Asia (IDA & IBRD),HRV
Europe & Central Asia (IDA & IBRD),GEO
Europe & Central Asia (IDA & IBRD),KAZ
Europe & Central Asia (IDA & IBRD),XKX
Europe & Central Asia (IDA & IBRD),KGZ
Europe & Central Asia (IDA & IBRD),MDA
Europe & Central Asia (IDA & IBRD),MNE
Europe & Central Asia (IDA & IBRD),MKD
Europe & Central Asia (IDA & IBRD),POL
Europe & Central Asia (IDA & IBRD),ROU
Europe & Central Asia (IDA & IBRD),RUS
Europe & Central Asia (IDA & IBRD),SRB
Europe & Central Asia (IDA & IBRD),TJK
Europe & Central Asia (IDA & IBRD),TUR
Europe & Central Asia (IDA & IBRD),TKM
Europe & Central Asia (IDA & IBRD),UKR
Europe & Central Asia (IDA & IBRD),UZB
Latin America & Caribbean (IDA & IBRD),ATG
Latin America & Caribbean (IDA & IBRD),ARG
Latin America & Caribbean (IDA & IBRD),BLZ
Latin America & Caribbean (IDA & IBRD),BOL
Latin America & Caribbean (IDA & IBRD),BRA
Latin America & Caribbean (IDA & IBRD),CHL
Latin America & Caribbean (IDA & IBRD),COL
Latin America & Caribbean (IDA & IBRD),CRI
Latin America & Caribbean (IDA & IBRD),DMA
Latin America & Caribbean (IDA & IBRD),DOM
Latin America & Caribbean (IDA & IBRD),ECU
Latin America & Caribbean (IDA & IBRD),SLV
Latin America & Caribbean (IDA & IBRD),GRD
Latin America & Caribbean (IDA & IBRD),GTM
Latin America & Caribbean (IDA & IBRD),GUY
Latin America & Caribbean (IDA & IBRD),HTI
Latin America & Caribbean (IDA & IBRD),HND
Latin America & Caribbean (IDA & IBRD),JAM
Latin America & Caribbean (IDA & IBRD),MEX
Latin America & Caribbean (IDA & IBRD),NIC
Latin America & Caribbean (IDA & IBRD),PAN
Latin America & Caribbean (IDA & IBRD),PRY
Latin America & Caribbean (IDA & IBRD),PER
Latin America & Caribbean (IDA & IBRD),KNA
Latin America & Caribbean (IDA & IBRD),LCA
Latin America & Caribbean (IDA & IBRD),VCT
Latin America & Caribbean (IDA & IBRD),SUR
Latin America & Caribbean (IDA & IBRD),TTO
Latin America & Caribbean (IDA & IBRD),URY
Latin America & Caribbean (IDA & IBRD),VEN
Middle East & North Africa (IDA & IBRD),DZA
Middle East & North Africa (IDA & IBRD),DJI
Middle East & North Africa (IDA & IBRD),EGY
Middle East & North Africa (IDA & IBRD),IRN
Middle East & North Africa (IDA & IBRD),IRQ
Middle East & North Africa (IDA & IBRD),JOR
Middle East & North Africa (IDA & IBRD),LBN
Middle East & North Africa (IDA & IBRD),LBY
Middle East & North Africa (IDA & IBRD),MAR
Middle East & North Africa (IDA & IBRD),SYR
Middle East & North Africa (IDA & IBRD),TUN
Middle East & North Africa (IDA & IBRD),YEM
South Asia (IDA & IBRD),AFG
South Asia (IDA & IBRD),BGD
South Asia (IDA & IBRD),BTN
South Asia (IDA & IBRD),IND
South Asia (IDA & IBRD),MDV
South Asia (IDA & IBRD),NPL
South Asia (IDA & IBRD),PAK
South Asia (IDA & IBRD),LKA
Sub-Saharan Africa (IDA & IBRD),AGO
Sub-Saharan Africa (IDA & IBRD),BEN
Sub-Saharan Africa (IDA & IBRD),BWA
Sub-Saharan Africa (IDA & IBRD),BFA
Sub-Saharan Africa (IDA & IBRD),BDI
Sub-Saharan Africa (IDA & IBRD),CPV
Sub-Saharan Africa (IDA & IBRD),CMR
Sub-Saharan Africa (IDA & IBRD),CAF
Sub-Saharan Africa (IDA & IBRD),TCD
Sub-Saharan Africa (IDA & IBRD),COM
Sub-Saharan Africa (IDA & IBRD),COD
Sub-Saharan Africa (IDA & IBRD),COG
Sub-Saharan Africa (IDA & IBRD),CIV
Sub-Saharan Africa (IDA & IBRD),GNQ
Sub-Saharan Africa (IDA & IBRD),ERI
Sub-Saharan Africa (IDA & IBRD),SWZ
Sub-Saharan Africa (IDA & IBRD),ETH
Sub-Saharan Africa (IDA & IBRD),GAB
Sub-Saharan Africa (IDA & IBRD),GMB
Sub-Saharan Africa (IDA & IBRD),GHA
Sub-Saharan Africa (IDA & IBRD),GIN
Sub-Saharan Africa (IDA & IBRD),GNB
Sub-Saharan Africa (IDA & IBRD),KEN
Sub-Saharan Africa (IDA & IBRD),LSO
Sub-Saharan Africa (IDA & IBRD),LBR
Sub-Saharan Africa (IDA & IBRD),MDG
Sub-Saharan Africa (IDA & IBRD),MWI
Sub-Saharan Africa (IDA & IBRD),MLI
Sub-Saharan Africa (IDA & IBRD),MRT
Sub-Saharan Africa (IDA & IBRD),MUS
Sub-Saharan Africa (IDA & IBRD),MOZ
